Compactness,SurfaceArea,WallArea,RoofArea,Orientation,GlazingArea,GlazingDist,CoolLoad
0.71,710.5,269.5,220.5,5,0.25,3,14.94
0.69,735.0,294.0,220.5,4,0.1,2,13.32
0.74,686.0,245.0,220.5,3,0.25,5,14.58
0.71,710.5,269.5,220.5,3,0.25,3,14.74
0.64,784.0,343.0,220.5,3,0.25,3,20.03
0.71,710.5,269.5,220.5,3,0.4,1,17.51
0.62,808.5,367.5,220.5,5,0.1,5,14.15
0.71,710.5,269.5,220.5,2,0.1,4,13.67
0.71,710.5,269.5,220.5,5,0.0,0,11.67
0.64,784.0,343.0,220.5,5,0.1,2,19.3
0.69,735.0,294.0,220.5,5,0.25,4,16.13
0.71,710.5,269.5,220.5,4,0.1,5,14.26
0.62,808.5,367.5,220.5,3,0.1,3,14.23
0.64,784.0,343.0,220.5,2,0.25,2,20.47
0.69,735.0,294.0,220.5,4,0.25,5,15.22
0.62,808.5,367.5,220.5,3,0.25,3,14.96
0.71,710.5,269.5,220.5,2,0.25,4,14.67
0.66,759.5,318.5,220.5,2,0.4,5,17.64
0.64,784.0,343.0,220.5,2,0.4,1,22.72
0.74,686.0,245.0,220.5,4,0.0,0,10.94
0.66,759.5,318.5,220.5,4,0.25,4,16.17
0.74,686.0,245.0,220.5,2,0.4,3,16.08
0.62,808.5,367.5,220.5,4,0.25,5,14.61
0.62,808.5,367.5,220.5,4,0.4,5,16.61
0.66,759.5,318.5,220.5,4,0.1,3,13.59
0.66,759.5,318.5,220.5,2,0.1,1,13.9
0.71,710.5,269.5,220.5,4,0.25,3,15.57
0.74,686.0,245.0,220.5,5,0.1,4,13.53
0.71,710.5,269.5,220.5,4,0.4,3,16.7
0.62,808.5,367.5,220.5,2,0.4,3,16.9
0.64,784.0,343.0,220.5,4,0.1,1,19.34
0.66,759.5,318.5,220.5,3,0.1,1,13.72
0.64,784.0,343.0,220.5,2,0.25,5,20.13
0.64,784.0,343.0,220.5,5,0.4,2,21.93
0.62,808.5,367.5,220.5,2,0.25,1,15.77
0.71,710.5,269.5,220.5,5,0.25,5,14.97
0.64,784.0,343.0,220.5,3,0.4,3,20.72
0.62,808.5,367.5,220.5,3,0.4,3,17.14
0.64,784.0,343.0,220.5,5,0.1,3,19.29
0.62,808.5,367.5,220.5,4,0.4,1,17.15
0.71,710.5,269.5,220.5,4,0.4,2,17.27
0.74,686.0,245.0,220.5,3,0.4,5,16.62
0.71,710.5,269.5,220.5,3,0.0,0,11.72
0.69,735.0,294.0,220.5,4,0.1,3,14.67
0.69,735.0,294.0,220.5,2,0.1,4,14.29
0.62,808.5,367.5,220.5,2,0.1,3,14.09
0.62,808.5,367.5,220.5,3,0.4,4,16.79
0.71,710.5,269.5,220.5,2,0.25,1,15.42
0.69,735.0,294.0,220.5,4,0.25,4,15.83
0.71,710.5,269.5,220.5,3,0.1,1,14.28
0.64,784.0,343.0,220.5,3,0.4,4,21.54
0.71,710.5,269.5,220.5,5,0.4,5,15.31
0.62,808.5,367.5,220.5,2,0.4,4,17.1
0.69,735.0,294.0,220.5,5,0.1,4,14.73
0.66,759.5,318.5,220.5,5,0.1,2,14.74
0.66,759.5,318.5,220.5,5,0.25,1,16.19
0.66,759.5,318.5,220.5,4,0.1,1,13.88
0.62,808.5,367.5,220.5,4,0.25,1,15.77
0.71,710.5,269.5,220.5,4,0.25,4,15.2
0.71,710.5,269.5,220.5,3,0.25,5,14.71
0.74,686.0,245.0,220.5,2,0.25,3,14.49
0.74,686.0,245.0,220.5,5,0.1,5,13.5
0.66,759.5,318.5,220.5,3,0.1,3,13.7
0.74,686.0,245.0,220.5,2,0.25,5,14.48
0.69,735.0,294.0,220.5,4,0.25,2,15.66
0.74,686.0,245.0,220.5,2,0.4,2,16.43
0.62,808.5,367.5,220.5,2,0.1,1,14.34
0.74,686.0,245.0,220.5,2,0.4,4,16.61
0.74,686.0,245.0,220.5,5,0.25,3,14.76
0.62,808.5,367.5,220.5,4,0.1,5,13.99
0.74,686.0,245.0,220.5,5,0.25,5,14.03
0.66,759.5,318.5,220.5,2,0.25,4,15.95
0.74,686.0,245.0,220.5,2,0.25,1,15.19
0.69,735.0,294.0,220.5,5,0.4,3,17.02
0.74,686.0,245.0,220.5,4,0.1,2,13.57
0.69,735.0,294.0,220.5,2,0.4,5,16.63
0.69,735.0,294.0,220.5,2,0.25,2,15.52
0.62,808.5,367.5,220.5,5,0.4,1,17.2
0.66,759.5,318.5,220.5,4,0.25,1,16.39
0.66,759.5,318.5,220.5,3,0.1,4,14.67
0.62,808.5,367.5,220.5,5,0.1,2,14.24
0.64,784.0,343.0,220.5,4,0.25,1,21.09
0.69,735.0,294.0,220.5,3,0.4,4,16.88
0.66,759.5,318.5,220.5,5,0.25,2,15.87
0.62,808.5,367.5,220.5,3,0.1,2,14.57
0.62,808.5,367.5,220.5,2,0.1,2,14.37
0.66,759.5,318.5,220.5,4,0.4,3,18.1
0.64,784.0,343.0,220.5,4,0.0,0,16.75
0.64,784.0,343.0,220.5,3,0.25,1,21.19
0.64,784.0,343.0,220.5,3,0.1,2,19.34
0.62,808.5,367.5,220.5,4,0.1,4,14.28
0.66,759.5,318.5,220.5,3,0.1,2,14.75
0.62,808.5,367.5,220.5,3,0.1,5,13.97
0.66,759.5,318.5,220.5,3,0.0,0,12.23
0.64,784.0,343.0,220.5,3,0.4,5,20.21
0.64,784.0,343.0,220.5,3,0.1,5,19.18
0.69,735.0,294.0,220.5,3,0.1,5,14.28
0.69,735.0,294.0,220.5,3,0.25,5,14.97
0.66,759.5,318.5,220.5,3,0.25,5,16.03
0.74,686.0,245.0,220.5,2,0.1,3,13.6
0.71,710.5,269.5,220.5,5,0.1,4,14.2
0.74,686.0,245.0,220.5,4,0.25,2,15.18
0.66,759.5,318.5,220.5,3,0.4,1,18.03
0.71,710.5,269.5,220.5,3,0.25,1,15.85
0.64,784.0,343.0,220.5,3,0.1,4,19.25
0.66,759.5,318.5,220.5,3,0.25,3,15.8
0.69,735.0,294.0,220.5,2,0.1,2,13.2
0.64,784.0,343.0,220.5,2,0.1,1,19.37
0.69,735.0,294.0,220.5,2,0.4,1,16.5
0.69,735.0,294.0,220.5,3,0.4,5,15.87
0.62,808.5,367.5,220.5,2,0.1,4,14.37
0.74,686.0,245.0,220.5,5,0.4,1,17.25
0.71,710.5,269.5,220.5,4,0.1,4,13.79
0.62,808.5,367.5,220.5,5,0.4,5,16.03
0.66,759.5,318.5,220.5,5,0.25,3,16.26
0.69,735.0,294.0,220.5,5,0.4,5,16.74
0.71,710.5,269.5,220.5,5,0.4,4,17.74
0.66,759.5,318.5,220.5,5,0.1,1,13.65
0.62,808.5,367.5,220.5,5,0.1,4,14.47
0.74,686.0,245.0,220.5,5,0.25,2,15.44
0.71,710.5,269.5,220.5,5,0.25,2,15.32
0.62,808.5,367.5,220.5,4,0.25,4,15.07
0.69,735.0,294.0,220.5,4,0.25,1,15.48
0.69,735.0,294.0,220.5,5,0.4,2,17.22
0.66,759.5,318.5,220.5,5,0.4,4,18.24
0.74,686.0,245.0,220.5,5,0.4,3,16.6
0.64,784.0,343.0,220.5,2,0.4,3,20.78
0.69,735.0,294.0,220.5,5,0.1,2,13.51
0.64,784.0,343.0,220.5,5,0.25,1,21.08
0.66,759.5,318.5,220.5,4,0.25,5,15.8
0.69,735.0,294.0,220.5,5,0.1,3,14.4
0.66,759.5,318.5,220.5,2,0.4,2,17.85
0.64,784.0,343.0,220.5,4,0.1,3,19.37
0.64,784.0,343.0,220.5,4,0.1,5,19.26
0.74,686.0,245.0,220.5,3,0.25,2,15.1
0.74,686.0,245.0,220.5,4,0.4,1,17.03
0.62,808.5,367.5,220.5,4,0.1,3,14.14
0.64,784.0,343.0,220.5,2,0.1,5,19.24
0.62,808.5,367.5,220.5,4,0.0,0,12.08
0.64,784.0,343.0,220.5,3,0.4,2,22.07
0.66,759.5,318.5,220.5,2,0.4,1,18.14
0.69,735.0,294.0,220.5,5,0.25,1,15.78
0.74,686.0,245.0,220.5,4,0.1,1,13.48
0.71,710.5,269.5,220.5,3,0.1,4,14.12
0.64,784.0,343.0,220.5,4,0.1,4,19.42
0.64,784.0,343.0,220.5,3,0.1,1,19.43
0.66,759.5,318.5,220.5,5,0.4,3,18.22
0.62,808.5,367.5,220.5,3,0.4,5,17.11
0.66,759.5,318.5,220.5,3,0.4,4,17.82
0.74,686.0,245.0,220.5,3,0.25,3,13.79
0.69,735.0,294.0,220.5,2,0.4,4,16.81
0.64,784.0,343.0,220.5,2,0.25,4,19.65
0.74,686.0,245.0,220.5,5,0.25,1,15.5
0.64,784.0,343.0,220.5,4,0.4,5,20.71
0.71,710.5,269.5,220.5,3,0.1,3,13.77
0.62,808.5,367.5,220.5,5,0.4,3,16.0
0.69,735.0,294.0,220.5,2,0.25,4,15.37
0.64,784.0,343.0,220.5,5,0.4,4,22.49
0.62,808.5,367.5,220.5,4,0.4,4,16.58
0.69,735.0,294.0,220.5,2,0.4,3,16.35
0.71,710.5,269.5,220.5,5,0.1,1,14.27
0.74,686.0,245.0,220.5,4,0.25,1,15.28
0.64,784.0,343.0,220.5,4,0.25,5,20.19
0.64,784.0,343.0,220.5,5,0.4,5,21.4
0.69,735.0,294.0,220.5,5,0.25,2,15.99
0.74,686.0,245.0,220.5,5,0.1,1,13.7
0.64,784.0,343.0,220.5,2,0.1,4,19.24
0.74,686.0,245.0,220.5,2,0.4,5,16.69
0.66,759.5,318.5,220.5,3,0.4,5,17.79
0.62,808.5,367.5,220.5,3,0.25,2,15.64
0.74,686.0,245.0,220.5,4,0.4,2,16.99
0.62,808.5,367.5,220.5,5,0.1,1,14.27
0.64,784.0,343.0,220.5,4,0.1,2,19.32
0.64,784.0,343.0,220.5,2,0.25,3,19.87
0.74,686.0,245.0,220.5,3,0.1,4,13.36
0.74,686.0,245.0,220.5,3,0.4,2,16.93
0.71,710.5,269.5,220.5,5,0.1,3,13.87
0.62,808.5,367.5,220.5,3,0.25,4,15.56
0.71,710.5,269.5,220.5,3,0.25,2,15.4
0.66,759.5,318.5,220.5,2,0.25,2,15.89
0.74,686.0,245.0,220.5,4,0.25,5,14.81
0.66,759.5,318.5,220.5,4,0.4,5,17.55
0.66,759.5,318.5,220.5,2,0.25,1,16.39
0.69,735.0,294.0,220.5,4,0.4,3,16.99
0.74,686.0,245.0,220.5,2,0.25,2,14.73
0.71,710.5,269.5,220.5,2,0.0,0,11.27
0.66,759.5,318.5,220.5,2,0.25,5,15.83
0.74,686.0,245.0,220.5,4,0.1,4,13.21
0.74,686.0,245.0,220.5,3,0.1,1,13.71
0.71,710.5,269.5,220.5,4,0.0,0,11.29
0.66,759.5,318.5,220.5,2,0.0,0,12.4
0.66,759.5,318.5,220.5,2,0.1,3,13.46
0.69,735.0,294.0,220.5,5,0.4,1,17.2
0.62,808.5,367.5,220.5,5,0.4,2,16.99
0.66,759.5,318.5,220.5,2,0.1,5,14.54
0.69,735.0,294.0,220.5,3,0.4,3,15.84
0.64,784.0,343.0,220.5,3,0.0,0,16.8
0.62,808.5,367.5,220.5,5,0.25,5,14.75
0.66,759.5,318.5,220.5,5,0.1,4,14.83
0.66,759.5,318.5,220.5,3,0.4,3,17.63
0.74,686.0,245.0,220.5,2,0.1,2,13.39
0.66,759.5,318.5,220.5,2,0.4,3,17.04
0.69,735.0,294.0,220.5,2,0.1,1,14.28
0.64,784.0,343.0,220.5,5,0.25,2,20.43
0.69,735.0,294.0,220.5,3,0.25,4,15.73
0.74,686.0,245.0,220.5,3,0.4,1,17.25
0.71,710.5,269.5,220.5,5,0.4,3,16.1
0.66,759.5,318.5,220.5,4,0.1,2,15.0
0.69,735.0,294.0,220.5,3,0.25,3,14.38
0.69,735.0,294.0,220.5,3,0.25,1,15.63
0.69,735.0,294.0,220.5,2,0.25,1,15.21
0.71,710.5,269.5,220.5,2,0.1,3,14.14
0.62,808.5,367.5,220.5,4,0.4,3,16.56
0.69,735.0,294.0,220.5,2,0.25,3,14.92
0.62,808.5,367.5,220.5,2,0.25,3,14.89
0.66,759.5,318.5,220.5,5,0.1,3,13.83
0.74,686.0,245.0,220.5,4,0.4,4,16.9
0.66,759.5,318.5,220.5,4,0.4,4,18.36
0.69,735.0,294.0,220.5,2,0.1,3,14.44
0.69,735.0,294.0,220.5,4,0.4,1,16.87
0.62,808.5,367.5,220.5,5,0.4,4,16.79
0.74,686.0,245.0,220.5,3,0.1,5,13.44
0.64,784.0,343.0,220.5,3,0.4,1,22.73
0.74,686.0,245.0,220.5,3,0.25,1,15.5
0.71,710.5,269.5,220.5,3,0.25,4,15.09
0.74,686.0,245.0,220.5,3,0.25,4,15.24
0.64,784.0,343.0,220.5,5,0.25,5,20.29
0.66,759.5,318.5,220.5,5,0.1,5,14.87
0.62,808.5,367.5,220.5,2,0.0,0,12.07
0.71,710.5,269.5,220.5,3,0.4,3,15.47
0.66,759.5,318.5,220.5,5,0.25,5,16.06
0.74,686.0,245.0,220.5,5,0.4,4,17.32
0.64,784.0,343.0,220.5,4,0.4,2,22.09
0.66,759.5,318.5,220.5,2,0.1,4,14.86
0.71,710.5,269.5,220.5,4,0.25,2,14.94
0.64,784.0,343.0,220.5,5,0.1,5,19.29
0.71,710.5,269.5,220.5,5,0.25,4,15.64
0.66,759.5,318.5,220.5,4,0.4,1,18.14
0.71,710.5,269.5,220.5,3,0.4,4,17.2
0.66,759.5,318.5,220.5,5,0.25,4,16.14
0.69,735.0,294.0,220.5,5,0.1,5,14.39
0.66,759.5,318.5,220.5,2,0.4,4,17.86
0.69,735.0,294.0,220.5,3,0.25,2,15.85
0.71,710.5,269.5,220.5,2,0.4,1,17.1
0.66,759.5,318.5,220.5,5,0.0,0,12.14
0.64,784.0,343.0,220.5,4,0.25,2,20.48
0.71,710.5,269.5,220.5,5,0.1,5,13.89
0.69,735.0,294.0,220.5,4,0.25,3,15.44
0.64,784.0,343.0,220.5,2,0.4,4,21.68
0.66,759.5,318.5,220.5,2,0.25,3,15.53
0.71,710.5,269.5,220.5,4,0.25,5,15.23
0.69,735.0,294.0,220.5,3,0.4,1,17.0
0.74,686.0,245.0,220.5,2,0.1,1,13.43
0.74,686.0,245.0,220.5,3,0.1,2,13.72
0.71,710.5,269.5,220.5,5,0.4,2,17.51
0.69,735.0,294.0,220.5,4,0.0,0,11.73
0.62,808.5,367.5,220.5,5,0.25,4,15.38
0.74,686.0,245.0,220.5,4,0.1,3,13.65
0.62,808.5,367.5,220.5,5,0.25,2,15.3
0.62,808.5,367.5,220.5,4,0.25,3,14.89
0.69,735.0,294.0,220.5,5,0.4,4,17.39
0.64,784.0,343.0,220.5,2,0.4,5,20.82
0.66,759.5,318.5,220.5,3,0.25,2,15.85
0.69,735.0,294.0,220.5,2,0.0,0,11.74
0.64,784.0,343.0,220.5,2,0.25,1,21.13
0.74,686.0,245.0,220.5,5,0.1,3,13.49
0.69,735.0,294.0,220.5,4,0.4,2,17.23
0.71,710.5,269.5,220.5,5,0.4,1,17.47
0.71,710.5,269.5,220.5,2,0.25,3,14.92
0.69,735.0,294.0,220.5,2,0.25,5,15.14
0.69,735.0,294.0,220.5,4,0.4,4,16.9
0.71,710.5,269.5,220.5,4,0.1,3,14.3
0.66,759.5,318.5,220.5,4,0.25,3,16.14
0.69,735.0,294.0,220.5,3,0.1,4,14.49
0.74,686.0,245.0,220.5,3,0.0,0,11.19
0.71,710.5,269.5,220.5,4,0.1,1,13.87
0.64,784.0,343.0,220.5,5,0.0,0,16.67
0.71,710.5,269.5,220.5,3,0.4,2,17.37
0.74,686.0,245.0,220.5,5,0.4,5,16.7
0.69,735.0,294.0,220.5,5,0.25,3,15.17
0.62,808.5,367.5,220.5,2,0.25,2,15.32
0.64,784.0,343.0,220.5,4,0.4,1,22.72
0.71,710.5,269.5,220.5,4,0.4,4,17.23
0.71,710.5,269.5,220.5,4,0.4,1,17.12
0.71,710.5,269.5,220.5,2,0.4,2,16.77
0.64,784.0,343.0,220.5,2,0.1,3,19.14
0.71,710.5,269.5,220.5,5,0.25,1,15.81
0.74,686.0,245.0,220.5,4,0.4,5,16.94
0.69,735.0,294.0,220.5,2,0.4,2,16.44
0.69,735.0,294.0,220.5,3,0.1,3,14.27
0.71,710.5,269.5,220.5,2,0.4,5,15.59
0.66,759.5,318.5,220.5,2,0.1,2,14.86
0.64,784.0,343.0,220.5,5,0.25,3,20.28
0.71,710.5,269.5,220.5,2,0.25,5,15.27
0.62,808.5,367.5,220.5,3,0.1,1,14.5
0.74,686.0,245.0,220.5,4,0.1,5,13.72
0.62,808.5,367.5,220.5,3,0.0,0,12.22
0.74,686.0,245.0,220.5,2,0.1,4,13.2
0.64,784.0,343.0,220.5,5,0.1,1,19.32
0.62,808.5,367.5,220.5,4,0.1,1,14.33
0.62,808.5,367.5,220.5,2,0.4,5,16.88
0.69,735.0,294.0,220.5,5,0.0,0,11.93
0.69,735.0,294.0,220.5,4,0.1,4,14.42
0.66,759.5,318.5,220.5,3,0.4,2,17.89
0.71,710.5,269.5,220.5,2,0.1,1,13.8
0.66,759.5,318.5,220.5,4,0.4,2,18.36
0.66,759.5,318.5,220.5,5,0.4,5,18.06
0.74,686.0,245.0,220.5,3,0.1,3,13.36
0.62,808.5,367.5,220.5,2,0.4,2,17.36
0.69,735.0,294.0,220.5,3,0.0,0,12.05
0.69,735.0,294.0,220.5,4,0.1,1,14.3
0.64,784.0,343.0,220.5,3,0.1,3,19.18
0.62,808.5,367.5,220.5,2,0.25,5,15.19
0.66,759.5,318.5,220.5,3,0.25,1,16.27
0.62,808.5,367.5,220.5,2,0.25,4,15.41
0.71,710.5,269.5,220.5,3,0.1,2,14.11
0.62,808.5,367.5,220.5,3,0.4,2,17.38
0.66,759.5,318.5,220.5,3,0.1,5,14.81
0.64,784.0,343.0,220.5,3,0.25,5,20.01
0.64,784.0,343.0,220.5,2,0.4,2,21.72
0.64,784.0,343.0,220.5,5,0.4,3,21.53
0.69,735.0,294.0,220.5,2,0.1,5,14.55
0.66,759.5,318.5,220.5,4,0.25,2,16.22
0.64,784.0,343.0,220.5,4,0.4,3,21.54
0.74,686.0,245.0,220.5,2,0.4,1,16.94
0.64,784.0,343.0,220.5,5,0.4,1,22.53
0.74,686.0,245.0,220.5,4,0.25,4,15.03
0.62,808.5,367.5,220.5,3,0.4,1,17.21
0.74,686.0,245.0,220.5,5,0.1,2,13.79
0.71,710.5,269.5,220.5,3,0.4,5,14.58
0.74,686.0,245.0,220.5,2,0.0,0,10.9
0.66,759.5,318.5,220.5,4,0.0,0,12.4
0.69,735.0,294.0,220.5,3,0.4,2,17.01
0.74,686.0,245.0,220.5,3,0.4,3,15.39
0.71,710.5,269.5,220.5,2,0.4,3,16.11
0.74,686.0,245.0,220.5,2,0.25,4,14.92
0.64,784.0,343.0,220.5,2,0.0,0,16.78
0.64,784.0,343.0,220.5,2,0.1,2,19.23
0.69,735.0,294.0,220.5,5,0.1,1,14.45
0.71,710.5,269.5,220.5,2,0.4,4,16.85
0.69,735.0,294.0,220.5,4,0.1,5,14.46
0.62,808.5,367.5,220.5,5,0.0,0,12.04
0.62,808.5,367.5,220.5,3,0.1,4,14.34
0.64,784.0,343.0,220.5,3,0.25,2,20.56
0.69,735.0,294.0,220.5,3,0.1,1,14.61
